0,HP_outdoor
2023-01-01T00:00:00,12.9
2023-01-01T00:10:00,70.4
2023-01-01T00:20:00,807.9
2023-01-01T00:30:00,1330.5
2023-01-01T00:40:00,924.3
2023-01-01T00:50:00,823.6
2023-01-01T01:00:00,1288.5
2023-01-01T01:10:00,13.0
2023-01-01T01:20:00,12.9
2023-01-01T01:30:00,12.9
2023-01-01T01:40:00,12.9
2023-01-01T01:50:00,12.9
2023-01-01T02:00:00,338.7
2023-01-01T02:10:00,1284.7
2023-01-01T02:20:00,1373.3
2023-01-01T02:30:00,770.7
2023-01-01T02:40:00,12.9
2023-01-01T02:50:00,12.9
2023-01-01T03:00:00,12.9
2023-01-01T03:10:00,12.9
2023-01-01T03:20:00,12.9
2023-01-01T03:30:00,183.1
2023-01-01T03:40:00,1060.1
2023-01-01T03:50:00,1363.5
2023-01-01T04:00:00,1204.2
2023-01-01T04:10:00,273.3
2023-01-01T04:20:00,12.9
2023-01-01T04:30:00,12.8
2023-01-01T04:40:00,12.9
2023-01-01T04:50:00,12.9
2023-01-01T05:00:00,12.9
2023-01-01T05:10:00,120.7
2023-01-01T05:20:00,896.3
2023-01-01T05:30:00,1321.6
2023-01-01T05:40:00,1424.5
2023-01-01T05:50:00,853.2
2023-01-01T06:00:00,12.9
2023-01-01T06:10:00,12.9
2023-01-01T06:20:00,12.9
2023-01-01T06:30:00,12.8
2023-01-01T06:40:00,12.8
2023-01-01T06:50:00,202.1
2023-01-01T07:00:00,1130.6
2023-01-01T07:10:00,1404.1
2023-01-01T07:20:00,560.3
2023-01-01T07:30:00,13.0
2023-01-01T07:40:00,12.8
2023-01-01T07:50:00,12.9
2023-01-01T08:00:00,12.9
2023-01-01T08:10:00,13.0
2023-01-01T08:20:00,12.9
2023-01-01T08:30:00,12.9
2023-01-01T08:40:00,12.9
2023-01-01T08:50:00,12.9
2023-01-01T09:00:00,12.8
2023-01-01T09:10:00,12.8
2023-01-01T09:20:00,12.9
2023-01-01T09:30:00,13.0
2023-01-01T09:40:00,380.0
2023-01-01T09:50:00,1325.2
2023-01-01T10:00:00,1368.5
2023-01-01T10:10:00,638.9
2023-01-01T10:20:00,12.9
2023-01-01T10:30:00,13.0
2023-01-01T10:40:00,13.0
2023-01-01T10:50:00,13.0
2023-01-01T11:00:00,158.0
2023-01-01T11:10:00,724.0
2023-01-01T11:20:00,711.4
2023-01-01T11:30:00,1346.6
2023-01-01T11:40:00,1310.4
2023-01-01T11:50:00,12.8
2023-01-01T12:00:00,12.8
2023-01-01T12:10:00,12.9
2023-01-01T12:20:00,13.2
2023-01-01T12:30:00,13.5
2023-01-01T12:40:00,13.9
2023-01-01T12:50:00,670.2
2023-01-01T13:00:00,1345.9
2023-01-01T13:10:00,1006.3
2023-01-01T13:20:00,13.4
2023-01-01T13:30:00,13.4
2023-01-01T13:40:00,13.4
2023-01-01T13:50:00,13.4
2023-01-01T14:00:00,118.0
2023-01-01T14:10:00,908.4
2023-01-01T14:20:00,1331.1
2023-01-01T14:30:00,864.9
2023-01-01T14:40:00,12.9
2023-01-01T14:50:00,13.3
2023-01-01T15:00:00,13.3
2023-01-01T15:10:00,13.3
2023-01-01T15:20:00,13.3
2023-01-01T15:30:00,13.4
2023-01-01T15:40:00,13.3
2023-01-01T15:50:00,13.3
2023-01-01T16:00:00,492.7
2023-01-01T16:10:00,1303.9
2023-01-01T16:20:00,1333.4
2023-01-01T16:30:00,660.2
2023-01-01T16:40:00,13.7
2023-01-01T16:50:00,13.8
2023-01-01T17:00:00,13.8
2023-01-01T17:10:00,13.7
2023-01-01T17:20:00,559.8
2023-01-01T17:30:00,1297.9
2023-01-01T17:40:00,1326.3
2023-01-01T17:50:00,89.7
2023-01-01T18:00:00,13.7
2023-01-01T18:10:00,13.7
2023-01-01T18:20:00,13.6
2023-01-01T18:30:00,13.6
2023-01-01T18:40:00,68.8
2023-01-01T18:50:00,680.3
2023-01-01T19:00:00,566.4
2023-01-01T19:10:00,1296.6
2023-01-01T19:20:00,1278.5
2023-01-01T19:30:00,13.7
2023-01-01T19:40:00,13.6
2023-01-01T19:50:00,13.8
2023-01-01T20:00:00,13.8
2023-01-01T20:10:00,144.4
2023-01-01T20:20:00,957.9
2023-01-01T20:30:00,1296.1
2023-01-01T20:40:00,1322.3
2023-01-01T20:50:00,1224.9
2023-01-01T21:00:00,13.2
2023-01-01T21:10:00,13.1
2023-01-01T21:20:00,13.2
2023-01-01T21:30:00,13.2
2023-01-01T21:40:00,13.2
2023-01-01T21:50:00,172.3
2023-01-01T22:00:00,1021.5
2023-01-01T22:10:00,1304.8
2023-01-01T22:20:00,1008.6
2023-01-01T22:30:00,13.0
2023-01-01T22:40:00,13.0
2023-01-01T22:50:00,13.0
2023-01-01T23:00:00,13.0
2023-01-01T23:10:00,253.4
2023-01-01T23:20:00,1189.8
2023-01-01T23:30:00,1303.2
2023-01-01T23:40:00,1322.6
2023-01-01T23:50:00,39.9
2023-01-02T00:00:00,13.0
2023-01-02T00:10:00,13.0
2023-01-02T00:20:00,413.4
2023-01-02T00:30:00,750.2
2023-01-02T00:40:00,964.2
2023-01-02T00:50:00,1290.2
2023-01-02T01:00:00,1307.1
2023-01-02T01:10:00,965.6
2023-01-02T01:20:00,13.0
2023-01-02T01:30:00,13.1
2023-01-02T01:40:00,13.0
2023-01-02T01:50:00,508.9
2023-01-02T02:00:00,1277.5
2023-01-02T02:10:00,1307.6
2023-01-02T02:20:00,1273.1
2023-01-02T02:30:00,13.0
2023-01-02T02:40:00,12.9
2023-01-02T02:50:00,12.9
2023-01-02T03:00:00,96.2
2023-01-02T03:10:00,838.4
2023-01-02T03:20:00,1285.7
2023-01-02T03:30:00,1310.4
2023-01-02T03:40:00,1059.0
2023-01-02T03:50:00,13.1
2023-01-02T04:00:00,13.0
2023-01-02T04:10:00,13.0
2023-01-02T04:20:00,237.8
2023-01-02T04:30:00,1158.9
2023-01-02T04:40:00,1301.9
2023-01-02T04:50:00,1132.4
2023-01-02T05:00:00,603.4
2023-01-02T05:10:00,1283.7
2023-01-02T05:20:00,1312.5
2023-01-02T05:30:00,263.2
2023-01-02T05:40:00,12.9
2023-01-02T05:50:00,12.8
2023-01-02T06:00:00,12.8
2023-01-02T06:10:00,12.8
2023-01-02T06:20:00,80.0
2023-01-02T06:30:00,809.3
2023-01-02T06:40:00,1281.2
2023-01-02T06:50:00,1313.3
2023-01-02T07:00:00,575.8
2023-01-02T07:10:00,12.8
2023-01-02T07:20:00,12.8
2023-01-02T07:30:00,12.8
2023-01-02T07:40:00,13.0
2023-01-02T07:50:00,86.2
2023-01-02T08:00:00,825.7
2023-01-02T08:10:00,1293.9
2023-01-02T08:20:00,1319.2
2023-01-02T08:30:00,140.3
2023-01-02T08:40:00,12.9
2023-01-02T08:50:00,12.8
2023-01-02T09:00:00,12.8
2023-01-02T09:10:00,74.0
2023-01-02T09:20:00,796.0
2023-01-02T09:30:00,1294.2
2023-01-02T09:40:00,1324.2
2023-01-02T09:50:00,1142.5
2023-01-02T10:00:00,13.6
2023-01-02T10:10:00,13.4
2023-01-02T10:20:00,12.9
2023-01-02T10:30:00,93.3
2023-01-02T10:40:00,757.9
2023-01-02T10:50:00,531.0
2023-01-02T11:00:00,1293.6
2023-01-02T11:10:00,1338.4
2023-01-02T11:20:00,1254.2
2023-01-02T11:30:00,12.9
2023-01-02T11:40:00,12.9
2023-01-02T11:50:00,13.0
2023-01-02T12:00:00,45.0
2023-01-02T12:10:00,728.2
2023-01-02T12:20:00,1320.4
2023-01-02T12:30:00,1349.6
2023-01-02T12:40:00,768.0
2023-01-02T12:50:00,13.3
2023-01-02T13:00:00,13.2
2023-01-02T13:10:00,13.2
2023-01-02T13:20:00,13.2
2023-01-02T13:30:00,208.2
2023-01-02T13:40:00,1121.8
2023-01-02T13:50:00,1342.9
2023-01-02T14:00:00,1360.3
2023-01-02T14:10:00,664.9
2023-01-02T14:20:00,13.2
2023-01-02T14:30:00,13.2
2023-01-02T14:40:00,13.6
2023-01-02T14:50:00,13.7
2023-01-02T15:00:00,13.8
2023-01-02T15:10:00,13.7
2023-01-02T15:20:00,13.6
2023-01-02T15:30:00,239.7
2023-01-02T15:40:00,1194.9
2023-01-02T15:50:00,1348.3
2023-01-02T16:00:00,1366.4
2023-01-02T16:10:00,126.8
2023-01-02T16:20:00,13.9
2023-01-02T16:30:00,13.7
2023-01-02T16:40:00,13.7
2023-01-02T16:50:00,13.7
2023-01-02T17:00:00,240.4
2023-01-02T17:10:00,631.8
2023-01-02T17:20:00,1005.2
2023-01-02T17:30:00,1350.0
2023-01-02T17:40:00,595.1
2023-01-02T17:50:00,13.5
2023-01-02T18:00:00,13.6
